
RCP6.0_WITH SUPPLEMENTARY EXTENSION SCP6.0to4.5__MIDYEAR__CONCENTRATIONS____________________________
CONTENT:           CMIP5 RECOMMENDATIONS FOR ANNUAL AVERAGE, GLOBAL MEAN CONCENTRATIONS.
RUN:               RCP6-SCP6to45, FINAL RELEASE, 30 May 2010
RCP6.0 CONTACT:    AIM group, Toshihiko Masui (masui@nies.go.jp) & Kenichi Matsumoto (matsumoto.kenichi@nies.go.jp)
DATE:              30/5/2010 01:02:33
MAGICC-VERSION:    6.3.09, 25 November 2009
FILE PRODUCED BY:  RCP Concentration Calculation & Data Group, M. Meinshausen, S. Smith, K. Riahi, D. van Vuuren et al.
DOCUMENTATION:     M. Meinshausen, S. Smith et al. "The RCP GHG concentrations and their extension from 1765 to 2500", in prep., Climatic Change.
CMIP5 INFO:        http://cmip-pcmdi.llnl.gov/cmip5/
RCP DATABASE:      http://www.iiasa.ac.at/web-apps/tnt/RcpDb
FURTHER INFO:      For data sources, aknowledgements and further information, see http://www.pik-potsdam.de/~mmalte/rcps
NOTE:              RCP6 starts 2005; 20th century data and earlier is provided for convenience; supplementary extension beyond 2100 to match RCP4.5 levels by 2250.

COLUMN_DESCRIPTION________________________________________
1. CO2EQ            - CO2 equivalence concentrations using CO2 radiative forcing relationship Q = 3.71/ln(2)*ln(C/278), aggregating all anthropogenic forcings, including greenhouse gases listed below (i.e. columns 3,4,5 and 8-35), and aerosols, trop. ozone etc. (not listed below).
2. KYOTO-CO2EQ      - As column 1, but only aggregating greenhouse gases controlled under the Kyoto Protocol (columns 3,4,5 and 8-19).
3. CO2              - Atmospheric CO2 concentrations
4. CH4              - Atmospheric CH4 concentrations
5. N2O              - Atmospheric N2O concentrations
6. FGASSUMHFC134AEQ - All flourinated gases controlled under the Kyoto Protocol, i.e. HFCs, PFCs, and SF6 (columns 8-19) expressed as HFC134a equivalence concentrations.
7. MHALOSUMCFC12EQ  - All flourinated gases controlled under the Montreal Protocol, i.e. CFCs, HCFCs, Halons, CCl4, CH3Br, CH3Cl (columns 20-35) expressed as CFC-12 equivalence concentrations.
8. - 19.            - Flourinated Gases controlled under the Kyoto Protocol
20. - 35.           - Ozone Depleting Substances controlled under the Montreal Protocol


 &THISFILE_SPECIFICATIONS
 THISFILE_DATACOLUMNS    =          35,
 THISFILE_FIRSTYEAR      =        1765,
 THISFILE_LASTYEAR       =        2500,
 THISFILE_ANNUALSTEPS    =           1,
 THISFILE_FIRSTDATAROW   =          40,
 THISFILE_UNITS          =  SEE ROW 38,
 THISFILE_DATTYPE        =  RCPDAT
/

   COLUMN:                   1                   2                   3                   4                   5                   6                   7                   8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34                  35                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
      2119      0.76825751E+03      0.84832709E+03      0.71117781E+03      0.15348025E+04      0.41818931E+03      0.60086865E+03      0.18699746E+03      0.24331045E+03      0.14748275E+02      0.30382194E+00      0.20315014E+02      0.43601758E+02      0.38185807E+01      0.15943981E+02      0.14749983E+03      0.27460002E+02      0.26646655E+00      0.21099722E+02      0.46782584E+02      0.18160666E+02      0.14014787E+03      0.15002605E+02      0.10521637E+02      0.84368866E+01      0.47889871E+00      0.42616589E-08      0.90166619E+00      0.69266509E+00      0.28669638E+00      0.12671178E-01      0.48842932E-18      0.59194126E+00      0.93115150E-03      0.57849928E+01      0.53802891E+03
      2120      0.76927311E+03      0.84952618E+03      0.71210326E+03      0.15330382E+04      0.41853743E+03      0.60307014E+03      0.18421961E+03      0.24417517E+03      0.14803316E+02      0.30473281E+00      0.20236189E+02      0.43561445E+02      0.38129228E+01      0.15946911E+02      0.14845093E+03      0.27525842E+02      0.25935630E+00      0.21075744E+02      0.47013041E+02      0.17640244E+02      0.13816017E+03      0.14752574E+02      0.10471655E+02      0.84298000E+01      0.45329124E+00      0.34589209E-08      0.82639875E+00      0.65683545E+00      0.27073738E+00      0.11874583E-01      0.34597523E-18      0.57930592E+00      0.87794510E-03      0.57779075E+01      0.53802891E+03
      2121      0.77013328E+03      0.85054825E+03      0.71288665E+03      0.15313427E+04      0.41885930E+03      0.60525024E+03      0.18148308E+03      0.24501243E+03      0.14856609E+02      0.30561503E+00      0.20157573E+02      0.43518776E+02      0.38073571E+01      0.15949042E+02      0.14942956E+03      0.27588429E+02      0.25245147E+00      0.21051523E+02      0.47236173E+02      0.17132818E+02      0.13619449E+03      0.14505938E+02      0.10421753E+02      0.84226970E+01      0.42897822E+00      0.28067482E-08      0.75729136E+00      0.62284700E+00      0.25564034E+00      0.11131388E-01      0.24506895E-18      0.56688645E+00      0.82770163E-03      0.57676273E+01      0.53802891E+03
      2122      0.77086734E+03      0.85142463E+03      0.71355221E+03      0.15297511E+04      0.41915516E+03      0.60741356E+03      0.17878980E+03      0.24582224E+03      0.14908154E+02      0.30646860E+00      0.20079189E+02      0.43476497E+02      0.38019443E+01      0.15950553E+02      0.15043647E+03      0.27647974E+02      0.24574839E+00      0.21027833E+02      0.47451981E+02      0.16638627E+02      0.13425253E+03      0.14262896E+02      0.10371981E+02      0.84155844E+01      0.40591972E+00      0.22771333E-08      0.69389079E+00      0.59062555E+00      0.24136203E+00      0.10438338E-01      0.17359275E-18      0.55469151E+00      0.78028250E-03      0.57593245E+01      0.53802891E+03
      2123      0.77149575E+03      0.85217717E+03      0.71411670E+03      0.15282893E+04      0.41942525E+03      0.60956341E+03      0.17614114E+03      0.24660459E+03      0.14957952E+02      0.30729354E+00      0.20001053E+02      0.43436549E+02      0.37967335E+01      0.15951604E+02      0.15147209E+03      0.27704669E+02      0.23924310E+00      0.21005261E+02      0.47660470E+02      0.16157799E+02      0.13233569E+03      0.14023605E+02      0.10322379E+02      0.84084682E+01      0.38407174E+00      0.18472060E-08      0.63577449E+00      0.56007561E+00      0.22786048E+00      0.97923133E-02      0.12296312E-18      0.54274679E+00      0.73555036E-03      0.57536318E+01      0.53802891E+03
      2124      0.77202857E+03      0.85281635E+03      0.71458777E+03      0.15269762E+04      0.41966982E+03      0.61170217E+03      0.17353809E+03      0.24735949E+03      0.15006003E+02      0.30808985E+00      0.19923183E+02      0.43400304E+02      0.37917644E+01      0.15952334E+02      0.15253661E+03      0.27758688E+02      0.23293142E+00      0.20984253E+02      0.47861639E+02      0.15690394E+02      0.13044510E+03      0.13788188E+02      0.10272984E+02      0.84013537E+01      0.36338745E+00      0.14983077E-08      0.58248338E+00      0.53113165E+00      0.21512391E+00      0.91733126E-02      0.87099997E-19      0.53105639E+00      0.69337009E-03      0.57504378E+01      0.53802891E+03
      2125      0.77247057E+03      0.85334724E+03      0.71496831E+03      0.15258339E+04      0.41988909E+03      0.61383272E+03      0.17098176E+03      0.24808694E+03      0.15052307E+02      0.30885754E+00      0.19845596E+02      0.43369139E+02      0.37870824E+01      0.15952894E+02      0.15363062E+03      0.27810224E+02      0.22680941E+00      0.20965285E+02      0.48055493E+02      0.15236476E+02      0.12858199E+03      0.13556786E+02      0.10223840E+02      0.83942472E+01      0.34382215E+00      0.12152498E-08      0.53362801E+00      0.50373480E+00      0.20308354E+00      0.85797119E-02      0.61696627E-19      0.51960574E+00      0.65361378E-03      0.57500241E+01      0.53802891E+03
      2126      0.77281135E+03      0.85375949E+03      0.71525023E+03      0.15248511E+04      0.42008329E+03      0.61595307E+03      0.16847153E+03      0.24878694E+03      0.15096864E+02      0.30959662E+00      0.19768296E+02      0.43342546E+02      0.37826829E+01      0.15953323E+02      0.15475255E+03      0.27859356E+02      0.22087181E+00      0.20948246E+02      0.48242033E+02      0.14795747E+02      0.12674633E+03      0.13329374E+02      0.10174954E+02      0.83871501E+01      0.32531882E+00      0.98563230E-09      0.48887312E+00      0.47779613E+00      0.19170061E+00      0.80268296E-02      0.43702341E-19      0.50839168E+00      0.61614568E-03      0.57506319E+01      0.53802891E+03
      2127      0.77303429E+03      0.85403610E+03      0.71542123E+03      0.15239932E+04      0.42025267E+03      0.61805768E+03      0.16600537E+03      0.24945949E+03      0.15139674E+02      0.31030707E+00      0.19691275E+02      0.43318781E+02      0.37785231E+01      0.15953567E+02      0.15589920E+03      0.27906074E+02      0.21511241E+00      0.20932608E+02      0.48421261E+02      0.14367654E+02      0.12493706E+03      0.13105798E+02      0.10126306E+02      0.83800597E+01      0.30781305E+00      0.79935698E-09      0.44783823E+00      0.45320336E+00      0.18096543E+00      0.75117902E-02      0.30956224E-19      0.49742410E+00      0.58082721E-03      0.57504495E+01      0.53802891E+03
      2128      0.77313018E+03      0.85416758E+03      0.71547474E+03      0.15232351E+04      0.42039744E+03      0.62014245E+03      0.16358169E+03      0.25010459E+03      0.15180738E+02      0.31098886E+00      0.19614526E+02      0.43296743E+02      0.37745717E+01      0.15953596E+02      0.15706797E+03      0.27950391E+02      0.20952547E+00      0.20918010E+02      0.48593180E+02      0.13951730E+02      0.12315338E+03      0.12885943E+02      0.10077884E+02      0.83729742E+01      0.29124709E+00      0.64824265E-09      0.41020996E+00      0.42988279E+00      0.17081190E+00      0.70319560E-02      0.21927608E-19      0.48669498E+00      0.54753105E-03      0.57494921E+01      0.53802891E+03
      2129      0.77309538E+03      0.85415029E+03      0.71540849E+03      0.15225626E+04      0.42051784E+03      0.62220485E+03      0.16119946E+03      0.25072224E+03      0.15220055E+02      0.31164201E+00      0.19538046E+02      0.43275961E+02      0.37708115E+01      0.15953406E+02      0.15825700E+03      0.27992344E+02      0.20410577E+00      0.20904275E+02      0.48757793E+02      0.13547611E+02      0.12139480E+03      0.12669733E+02      0.10029684E+02      0.83658934E+01      0.27556959E+00      0.52565864E-09      0.37573624E+00      0.40779523E+00      0.16120697E+00      0.65849100E-02      0.15532256E-19      0.47619850E+00      0.51614051E-03      0.57482267E+01      0.53802891E+03
      2130      0.77292870E+03      0.85398326E+03      0.71522228E+03      0.15219636E+04      0.42061409E+03      0.62424272E+03      0.15885765E+03      0.25131244E+03      0.15257626E+02      0.31226651E+00      0.19461836E+02      0.43256088E+02      0.37672274E+01      0.15953000E+02      0.15946461E+03      0.28031972E+02      0.19884829E+00      0.20891255E+02      0.48915101E+02      0.13154952E+02      0.11966091E+03      0.12457098E+02      0.99817030E+01      0.83588168E+01      0.26073243E+00      0.42622466E-09      0.34415331E+00      0.38685779E+00      0.15214831E+00      0.61684065E-02      0.11002157E-19      0.46590981E+00      0.48654606E-03      0.57467809E+01      0.53802891E+03
      2131      0.77260922E+03      0.85364540E+03      0.71490251E+03      0.15213671E+04      0.42068641E+03      0.62624478E+03      0.15655211E+03      0.25187519E+03      0.15293451E+02      0.31286239E+00      0.19385862E+02      0.43233626E+02      0.37637121E+01      0.15952157E+02      0.16068475E+03      0.28069099E+02      0.19374588E+00      0.20877785E+02      0.49065107E+02      0.12772875E+02      0.11794900E+03      0.12247691E+02      0.99338725E+01      0.83517344E+01      0.24667203E+00      0.34555169E-09      0.31520919E+00      0.36698123E+00      0.14360179E+00      0.57801457E-02      0.77932950E-20      0.45581045E+00      0.45862653E-03      0.57415752E+01      0.53802891E+03
      2132      0.77213154E+03      0.85313196E+03      0.71444754E+03      0.15207312E+04      0.42073502E+03      0.62820410E+03      0.15428004E+03      0.25241049E+03      0.15327530E+02      0.31342964E+00      0.19310106E+02      0.43206866E+02      0.37601977E+01      0.15950744E+02      0.16191328E+03      0.28103623E+02      0.18879250E+00      0.20863207E+02      0.49207813E+02      0.12400747E+02      0.11625723E+03      0.12041275E+02      0.98861483E+01      0.83446398E+01      0.23333624E+00      0.28009266E-09      0.28867793E+00      0.34811644E+00      0.13550783E+00      0.54180803E-02      0.55203218E-20      0.44590692E+00      0.43227577E-03      0.57332131E+01      0.53802891E+03
      2133      0.77152638E+03      0.85247555E+03      0.71388189E+03      0.15201032E+04      0.42076014E+03      0.63012735E+03      0.15204319E+03      0.25291834E+03      0.15359863E+02      0.31396828E+00      0.19234587E+02      0.43178911E+02      0.37567497E+01      0.15948934E+02      0.16315260E+03      0.28135749E+02      0.18398544E+00      0.20848401E+02      0.49343221E+02      0.12038723E+02      0.11458704E+03      0.11838010E+02      0.98385763E+01      0.83375397E+01      0.22070126E+00      0.22700008E-09      0.26436693E+00      0.33024090E+00      0.12784347E+00      0.50805971E-02      0.39102784E-20      0.43620526E+00      0.40741907E-03      0.57268215E+01      0.53802891E+03
      2134      0.77081550E+03      0.85169924E+03      0.71322269E+03      0.15195196E+04      0.42076198E+03      0.63201967E+03      0.14984278E+03      0.25339874E+03      0.15390451E+02      0.31447831E+00      0.19159322E+02      0.43151990E+02      0.37534215E+01      0.15946877E+02      0.16440461E+03      0.28165658E+02      0.17932180E+00      0.20834042E+02      0.49471334E+02      0.11686856E+02      0.11293955E+03      0.11638019E+02      0.97911959E+01      0.83304400E+01      0.20874120E+00      0.18395249E-09      0.24209709E+00      0.31330758E+00      0.12061521E+00      0.47661506E-02      0.27698163E-20      0.42670968E+00      0.38398256E-03      0.57230184E+01      0.53802891E+03
      2135      0.77000932E+03      0.85081377E+03      0.71247719E+03      0.15190090E+04      0.42074077E+03      0.63388509E+03      0.14767967E+03      0.25385170E+03      0.15419293E+02      0.31495975E+00      0.19084327E+02      0.43127703E+02      0.37502575E+01      0.15944705E+02      0.16567085E+03      0.28193516E+02      0.17479852E+00      0.20820655E+02      0.49592154E+02      0.11345138E+02      0.11131568E+03      0.11441399E+02      0.97440420E+01      0.83233461E+01      0.19742874E+00      0.14905876E-09      0.22166922E+00      0.29724808E+00      0.11379988E+00      0.44732659E-02      0.19619785E-20      0.41742295E+00      0.36189368E-03      0.57216869E+01      0.53802891E+03
      2136      0.76911380E+03      0.84982491E+03      0.71164839E+03      0.15186018E+04      0.42069670E+03      0.63572802E+03      0.14555492E+03      0.25427721E+03      0.15446390E+02      0.31541261E+00      0.19009619E+02      0.43107606E+02      0.37473067E+01      0.15942562E+02      0.16695322E+03      0.28219503E+02      0.17041271E+00      0.20808783E+02      0.49705683E+02      0.11013596E+02      0.10971647E+03      0.11248260E+02      0.96971540E+01      0.83162641E+01      0.18673787E+00      0.12078181E-09      0.20293325E+00      0.28202526E+00      0.10737559E+00      0.42005649E-02      0.13897527E-20      0.40832903E+00      0.34108382E-03      0.57231049E+01      0.53802891E+03
      2137      0.76811966E+03      0.84872255E+03      0.71072795E+03      0.15182944E+04      0.42063000E+03      0.63754770E+03      0.14346807E+03      0.25467528E+03      0.15471742E+02      0.31583689E+00      0.18935201E+02      0.43091343E+02      0.37445686E+01      0.15940479E+02      0.16825119E+03      0.28243689E+02      0.16616048E+00      0.20798376E+02      0.49811924E+02      0.10692001E+02      0.10814185E+03      0.11058574E+02      0.96505391E+01      0.83091954E+01      0.17663601E+00      0.97868672E-10      0.18578045E+00      0.26759918E+00      0.10132030E+00      0.39466744E-02      0.98442086E-21      0.39942508E+00      0.32148043E-03      0.57255258E+01      0.53802891E+03
      2138      0.76700910E+03      0.84748780E+03      0.70970156E+03      0.15180588E+04      0.42054087E+03      0.63933957E+03      0.14141746E+03      0.25504591E+03      0.15495350E+02      0.31623260E+00      0.18861065E+02      0.43077304E+02      0.37420046E+01      0.15938395E+02      0.16956234E+03      0.28266051E+02      0.16203726E+00      0.20788965E+02      0.49910878E+02      0.10379915E+02      0.10659080E+03      0.10872207E+02      0.96041786E+01      0.83021373E+01      0.16708674E+00      0.79300418E-10      0.17007549E+00      0.25392929E+00      0.95583464E-01      0.37102535E-02      0.69730710E-21      0.39072267E+00      0.30300965E-03      0.57271547E+01      0.53802891E+03
      2139      0.76577147E+03      0.84610947E+03      0.70856086E+03      0.15178761E+04      0.42042952E+03      0.64110048E+03      0.13940179E+03      0.25538909E+03      0.15517212E+02      0.31659975E+00      0.18787204E+02      0.43064503E+02      0.37395875E+01      0.15936271E+02      0.17088486E+03      0.28286587E+02      0.15803882E+00      0.20780240E+02      0.50002549E+02      0.10076969E+02      0.10506261E+03      0.10689057E+02      0.95580600E+01      0.82950882E+01      0.15805741E+00      0.64252697E-10      0.15569543E+00      0.24095681E+00      0.90146522E-01      0.34730571E-02      0.49393224E-21      0.38221510E+00      0.28560369E-03      0.57280137E+01      0.53802891E+03
      2140      0.76440360E+03      0.84458435E+03      0.70730354E+03      0.15177374E+04      0.42029614E+03      0.64282882E+03      0.13742032E+03      0.25570484E+03      0.15537330E+02      0.31693835E+00      0.18713617E+02      0.43052558E+02      0.37373038E+01      0.15934100E+02      0.17221767E+03      0.28305326E+02      0.15416132E+00      0.20772067E+02      0.50086938E+02      0.97828879E+01      0.10355687E+03      0.10509056E+02      0.95121792E+01      0.82880475E+01      0.14951898E+00      0.52058272E-10      0.14252849E+00      0.22865482E+00      0.85021024E-01      0.32351274E-02      0.34987318E-21      0.37389741E+00      0.26920044E-03      0.57285711E+01      0.53802891E+03
      2141      0.76290475E+03      0.84291186E+03      0.70592943E+03      0.15176357E+04      0.42014095E+03      0.64452326E+03      0.13547225E+03      0.25599314E+03      0.15555704E+02      0.31724841E+00      0.18640301E+02      0.43041201E+02      0.37351421E+01      0.15931876E+02      0.17355984E+03      0.28322295E+02      0.15040107E+00      0.20764340E+02      0.50164047E+02      0.94973935E+01      0.10207316E+03      0.10332141E+02      0.94665327E+01      0.82810150E+01      0.14144426E+00      0.42176431E-10      0.13047242E+00      0.21699947E+00      0.80189136E-01      0.30135235E-02      0.24783003E-21      0.36576495E+00      0.25374164E-03      0.57289543E+01      0.53802891E+03
      2142      0.76125444E+03      0.84107124E+03      0.70442481E+03      0.15175043E+04      0.41996415E+03      0.64617296E+03      0.13355416E+03      0.25625399E+03      0.15572334E+02      0.31752993E+00      0.18567227E+02      0.43027013E+02      0.37329994E+01      0.15929376E+02      0.17490558E+03      0.28337305E+02      0.14675276E+00      0.20755934E+02      0.50233880E+02      0.92198222E+01      0.10060915E+03      0.10158018E+02      0.94210562E+01      0.82739808E+01      0.13379780E+00      0.34166680E-10      0.11942974E+00      0.20593691E+00      0.75632378E-01      0.28070190E-02      0.17554854E-21      0.35780253E+00      0.23916311E-03      0.57256020E+01      0.53802891E+03
      2143      0.75944781E+03      0.83905820E+03      0.70278812E+03      0.15173054E+04      0.41976592E+03      0.64777151E+03      0.13166376E+03      0.25648741E+03      0.15587220E+02      0.31778294E+00      0.18494376E+02      0.43008357E+02      0.37308116E+01      0.15926460E+02      0.17625120E+03      0.28350245E+02      0.14321193E+00      0.20746230E+02      0.50296437E+02      0.89496903E+01      0.99163243E+02      0.99864876E+01      0.93757073E+01      0.82669385E+01      0.12655047E+00      0.27673447E-10      0.10931305E+00      0.19542276E+00      0.71334071E-01      0.26145197E-02      0.12434849E-21      0.34999945E+00      0.22540860E-03      0.57191238E+01      0.53802891E+03
      2144      0.75751599E+03      0.83690581E+03      0.70104398E+03      0.15170896E+04      0.41954648E+03      0.64932657E+03      0.12980256E+03      0.25669338E+03      0.15600362E+02      0.31800743E+00      0.18421765E+02      0.42988365E+02      0.37286468E+01      0.15923296E+02      0.17760000E+03      0.28361311E+02      0.13977666E+00      0.20736128E+02      0.50351722E+02      0.86870838E+01      0.97736627E+02      0.98176772E+01      0.93305292E+01      0.82598947E+01      0.11968859E+00      0.22411593E-10      0.10004781E+00      0.18545349E+00      0.67280841E-01      0.24351497E-02      0.88081313E-22      0.34236016E+00      0.21243835E-03      0.57146211E+01      0.53802891E+03
      2145      0.75552180E+03      0.83463743E+03      0.69920959E+03      0.15168962E+04      0.41930601E+03      0.65084413E+03      0.12887947E+03      0.25687191E+03      0.15611760E+02      0.31820341E+00      0.18349413E+02      0.42969284E+02      0.37265605E+01      0.15920030E+02      0.17895472E+03      0.28370676E+02      0.13644484E+00      0.20726323E+02      0.50399737E+02      0.85576811E+01      0.97028301E+02      0.97339646E+01      0.93079920E+01      0.82563817E+01      0.11634873E+00      0.18148926E-10      0.95617740E-01      0.18062128E+00      0.65300130E-01      0.23531512E-02      0.62391735E-22      0.33858389E+00      0.21112765E-03      0.57131318E+01      0.53802891E+03
      2146      0.75347495E+03      0.83226404E+03      0.69729229E+03      0.15167558E+04      0.41904471E+03      0.65232890E+03      0.12887950E+03      0.25702300E+03      0.15621415E+02      0.31837090E+00      0.18277332E+02      0.42952698E+02      0.37245986E+01      0.15916786E+02      0.18031760E+03      0.28378495E+02      0.13321426E+00      0.20717346E+02      0.50440483E+02      0.85576937E+01      0.97028303E+02      0.97339571E+01      0.93080030E+01      0.82563828E+01      0.11634469E+00      0.14696519E-10      0.95614882E-01      0.18064024E+00      0.65273349E-01      0.23618916E-02      0.44194716E-22      0.33859104E+00      0.22081031E-03      0.57131343E+01      0.53802891E+03
      2147      0.75133970E+03      0.82979144E+03      0.69529498E+03      0.15167003E+04      0.41876278E+03      0.65378596E+03      0.12887954E+03      0.25714666E+03      0.15629326E+02      0.31850990E+00      0.18205540E+02      0.42940146E+02      0.37228111E+01      0.15913701E+02      0.18169122E+03      0.28384938E+02      0.13008281E+00      0.20709744E+02      0.50473964E+02      0.85577046E+01      0.97028317E+02      0.97339609E+01      0.93080078E+01      0.82563747E+01      0.11634957E+00      0.11900991E-10      0.95612868E-01      0.18065859E+00      0.65248393E-01      0.23701194E-02      0.31304994E-22      0.33858898E+00      0.22994495E-03      0.57131457E+01      0.53802891E+03
      2148      0.74910738E+03      0.82720990E+03      0.69320949E+03      0.15167281E+04      0.41846039E+03      0.65521503E+03      0.12887951E+03      0.25724288E+03      0.15635495E+02      0.31862042E+00      0.18134039E+02      0.42931287E+02      0.37211997E+01      0.15910800E+02      0.18307551E+03      0.28390063E+02      0.12704769E+00      0.20703480E+02      0.50500181E+02      0.85577013E+01      0.97028316E+02      0.97339602E+01      0.93079977E+01      0.82563776E+01      0.11634564E+00      0.96374600E-11      0.95612061E-01      0.18065339E+00      0.65225355E-01      0.23778820E-02      0.22174657E-22      0.33857931E+00      0.23856501E-03      0.57131411E+01      0.53802891E+03
      2149      0.74676031E+03      0.82450098E+03      0.69102171E+03      0.15168133E+04      0.41813774E+03      0.65661188E+03      0.12887948E+03      0.25731166E+03      0.15639920E+02      0.31870247E+00      0.18062821E+02      0.42924540E+02      0.37197282E+01      0.15908017E+02      0.18446833E+03      0.28393838E+02      0.12410551E+00      0.20698102E+02      0.50519138E+02      0.85576892E+01      0.97028313E+02      0.97339563E+01      0.93079904E+01      0.82563890E+01      0.11633105E+00      0.78044882E-11      0.95611522E-01      0.18062517E+00      0.65203738E-01      0.23851887E-02      0.15707251E-22      0.33857879E+00      0.24669826E-03      0.57131382E+01      0.53802891E+03
      2150      0.74428879E+03      0.82165451E+03      0.68872339E+03      0.15169385E+04      0.41779500E+03      0.65800046E+03      0.12888119E+03      0.25733917E+03      0.15641697E+02      0.31873663E+00      0.18026922E+02      0.42922209E+02      0.37188765E+01      0.15905830E+02      0.18586817E+03      0.28394054E+02      0.12266279E+00      0.20695434E+02      0.50526800E+02      0.85579184E+01      0.97029562E+02      0.97341112E+01      0.93080265E+01      0.82564071E+01      0.11632334E+00      0.63200879E-11      0.95610695E-01      0.18062326E+00      0.65211969E-01      0.23920564E-02      0.11126113E-22      0.33858550E+00      0.25437152E-03      0.57155071E+01      0.53802891E+03
      2151      0.74169139E+03      0.81866825E+03      0.68631244E+03      0.15170964E+04      0.41743237E+03      0.65940174E+03      0.12888510E+03      0.25733913E+03      0.15641695E+02      0.31873712E+00      0.18026212E+02      0.42923996E+02      0.37186086E+01      0.15904261E+02      0.18727429E+03      0.28391464E+02      0.12267362E+00      0.20695332E+02      0.50526799E+02      0.85584697E+01      0.97032442E+02      0.97344589E+01      0.93081200E+01      0.82564316E+01      0.11632176E+00      0.51179625E-11      0.95609471E-01      0.18064450E+00      0.65248264E-01      0.23985116E-02      0.78810985E-23      0.33859882E+00      0.26161121E-03      0.57190846E+01      0.53802891E+03
      2152      0.73905386E+03      0.81563762E+03      0.68386913E+03      0.15172815E+04      0.41705005E+03      0.66080957E+03      0.12888956E+03      0.25733908E+03      0.15641693E+02      0.31873762E+00      0.18025507E+02      0.42926067E+02      0.37183758E+01      0.15902789E+02      0.18868607E+03      0.28388971E+02      0.12268386E+00      0.20695449E+02      0.50526797E+02      0.85591125E+01      0.97035791E+02      0.97348504E+01      0.93082348E+01      0.82564622E+01      0.11632572E+00      0.41444382E-11      0.95607794E-01      0.18066210E+00      0.65282209E-01      0.24045801E-02      0.55825168E-23      0.33861829E+00      0.26844222E-03      0.57207103E+01      0.53802891E+03
      2153      0.73643666E+03      0.81263217E+03      0.68145531E+03      0.15174277E+04      0.41664819E+03      0.66221248E+03      0.12889167E+03      0.25733904E+03      0.15641691E+02      0.31873812E+00      0.18024777E+02      0.42924757E+02      0.37180721E+01      0.15901163E+02      0.19009753E+03      0.28386313E+02      0.12269203E+00      0.20694588E+02      0.50526796E+02      0.85594206E+01      0.97037472E+02      0.97350378E+01      0.93082906E+01      0.82564700E+01      0.11632602E+00      0.33558278E-11      0.95602473E-01      0.18066868E+00      0.65312438E-01      0.24101985E-02      0.39543337E-23      0.33863328E+00      0.27487714E-03      0.57178961E+01      0.53802891E+03
      2154      0.73382854E+03      0.80964005E+03      0.67906304E+03      0.15174966E+04      0.41622698E+03      0.66360413E+03      0.12888981E+03      0.25733900E+03      0.15641690E+02      0.31873861E+00      0.18024010E+02      0.42918555E+02      0.37176392E+01      0.15899243E+02      0.19150485E+03      0.28383356E+02      0.12269718E+00      0.20692169E+02      0.50526795E+02      0.85591456E+01      0.97036200E+02      0.97348831E+01      0.93082450E+01      0.82564485E+01      0.11631687E+00      0.27168959E-11      0.95591624E-01      0.18066014E+00      0.65338145E-01      0.24153363E-02      0.28010225E-23      0.33863676E+00      0.28093097E-03      0.57118329E+01      0.53802891E+03
      2155      0.73125724E+03      0.80668944E+03      0.67671303E+03      0.15175383E+04      0.41578659E+03      0.66499258E+03      0.12888590E+03      0.25733895E+03      0.15641688E+02      0.31873911E+00      0.18023225E+02      0.42910569E+02      0.37171477E+01      0.15897187E+02      0.19291183E+03      0.28380256E+02      0.12270037E+00      0.20689101E+02      0.50526793E+02      0.85585544E+01      0.97033297E+02      0.97345426E+01      0.93081565E+01      0.82564228E+01      0.11630453E+00      0.21994103E-11      0.95577810E-01      0.18064317E+00      0.65360563E-01      0.24200848E-02      0.19840832E-23      0.33863581E+00      0.28663259E-03      0.57076141E+01      0.53802891E+03
      2156      0.72874006E+03      0.80379856E+03      0.67441837E+03      0.15175910E+04      0.41532722E+03      0.66638406E+03      0.12888140E+03      0.25733890E+03      0.15641686E+02      0.31873961E+00      0.18022429E+02      0.42902989E+02      0.37166583E+01      0.15895130E+02      0.19432153E+03      0.28377142E+02      0.12270250E+00      0.20686064E+02      0.50526792E+02      0.85578709E+01      0.97029886E+02      0.97341495E+01      0.93080607E+01      0.82563987E+01      0.11629417E+00      0.17804021E-11      0.95563090E-01      0.18062302E+00      0.65380718E-01      0.24245215E-02      0.14054104E-23      0.33861708E+00      0.29200862E-03      0.57058077E+01      0.53802891E+03
      2157      0.72628353E+03      0.80097437E+03      0.67218316E+03      0.15176851E+04      0.41484901E+03      0.66778351E+03      0.12887759E+03      0.25733885E+03      0.15641685E+02      0.31874010E+00      0.18021637E+02      0.42897359E+02      0.37162166E+01      0.15893180E+02      0.19573653E+03      0.28374129E+02      0.12270470E+00      0.20683577E+02      0.50526791E+02      0.85572887E+01      0.97026957E+02      0.97338046E+01      0.93079721E+01      0.82563809E+01      0.11629010E+00      0.14411999E-11      0.95549152E-01      0.18060393E+00      0.65399492E-01      0.24287130E-02      0.99551188E-24      0.33858620E+00      0.29708382E-03      0.57062846E+01      0.53802891E+03
